strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10329,13,13,13,1.0,True,985.6591764041049,12813.569293253364,8429.569293253364,42147.84646626681,3600.0,720,719,13,13,13,14,14,3203.923076923077,7817.0,0.02911550399949192
deferred,10330,16,16,16,1.0,True,862.8331999470461,13805.331199152737,9875.331199152739,49376.65599576369,3210.0,642,640,16,16,16,22,22,3068.375,7523.0,0.07666174599944497
deferred,10331,10,10,10,1.0,True,1310.7587355545038,13107.587355545038,8414.587355545034,42072.93677772518,3870.0,774,773,10,10,10,10,10,4310.6,9491.0,0.018159313000069233
deferred,10332,10,10,10,1.0,True,1297.3249899691477,12973.249899691478,8334.249899691475,41671.24949845737,3825.0,765,764,10,10,10,7,7,4680.2,8261.0,0.018807309999829158
deferred,10333,15,15,15,1.0,True,768.5595999241663,11528.393998862493,8304.393998862495,41521.96999431248,2625.0,525,524,15,15,15,13,13,2240.6,7523.0,0.026621359997079708
deferred,10334,11,11,11,1.0,True,1116.6293964928589,12282.923361421448,8184.92336142145,40924.61680710724,3370.0,674,673,11,11,11,9,9,2758.4545454545455,5591.0,0.021953031999146333
deferred,10335,10,10,10,1.0,True,1313.0942491183857,13130.942491183858,8467.942491183858,42339.71245591929,3845.0,769,768,10,10,10,11,11,2298.2,6359.0,0.022450635999121005
deferred,10336,10,10,10,1.0,True,1278.8056015012776,12788.056015012777,8089.056015012777,40445.28007506387,3875.0,775,774,10,10,10,12,12,2940.2,5819.0,0.022535611999046523
deferred,10337,12,12,12,1.0,True,1124.3355338110503,13492.026405732602,9090.026405732602,45450.132028663,3620.0,724,722,12,12,12,9,9,3368.0,8273.0,0.03504117700140341
deferred,10338,15,15,15,1.0,True,818.6022296549816,12279.033444824723,8833.033444824723,44165.167224123616,2810.0,562,561,15,15,15,16,16,1911.4,5327.0,0.026509739000175614
deferred,10339,16,16,16,1.0,True,805.2762358579731,12884.41977372757,9315.419773727566,46577.09886863783,2910.0,582,579,16,16,16,9,9,3452.375,8147.0,0.04176545299924328
